date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:04	0/0	---M-Z	302	error ('Found')	text/html	date:Wed,%2009%20May%202018%2005:18:04%20GMT	https://www.linkedin.com/shareArticle?url=https://www.jazz.com.pk/postpaid/internet-menu/&title=Mobile%20Internet%20-%20Jazz	C:/Websites/Jazz/www.linkedin.com/shareArticle.1d3d1cc.delayed	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:05	51593/51593	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:04%20GMT	https://www.linkedin.com/start/join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fsharing%2Fshare-offsite%3Furl%3Dhttps%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid%2Finternet-menu%2F%26title%3DMobile%2520Internet%2520-%2520Jazz	C:/Websites/Jazz/www.linkedin.com/start/join7eeb.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:06	91877/91877	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Sep%202016%2018:44:44%20GMT	https://www.jazz.com.pk/assets/uploads/2016/09/184-Mobile-Apps.jpg	C:/Websites/Jazz/www.jazz.com.pk/assets/uploads/2016/09/184-Mobile-Apps.jpg	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:07	82674/82674	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:05%20GMT	https://www.jazz.com.pk/postpaid/jazz-fun-2/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-fun-2/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:07	80866/80866	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:05%20GMT	https://www.jazz.com.pk/postpaid/internet-menu/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/internet-menu/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:08	82070/82070	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:06%20GMT	https://www.jazz.com.pk/postpaid/jazz-music/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-music/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20May%202018%2005:18:09%20GMT	https://www.jazz.com.pk/postpaid/dcb/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/dcb/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:10	87418/87418	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:09%20GMT	https://www.jazz.com.pk/postpaid/islam-360/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/islam-360/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:11	81072/81072	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:09%20GMT	https://www.jazz.com.pk/postpaid/twitter-care/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/twitter-care/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:12	85052/85052	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:10%20GMT	https://www.jazz.com.pk/postpaid/missed-sms-alert/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/missed-sms-alert/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
